,Fragment_selected,Monoisotopic_mass_fragment,Fragment_collision,Monoisotopic_mass_collision
R[UNIMOD:1006]->R[UNIMOD:36],R[UNIMOD:1006],184.14721400000002,R[UNIMOD:36],184.13241
R[UNIMOD:1006]->K[UNIMOD:206],R[UNIMOD:1006],184.14721400000002,K[UNIMOD:206],184.121175
R[UNIMOD:1006]->K[UNIMOD:58],R[UNIMOD:1006],184.14721400000002,K[UNIMOD:58],184.121175
K[UNIMOD:518]->R[UNIMOD:1006],K[UNIMOD:518],184.15756,R[UNIMOD:1006],184.14721400000002
K[UNIMOD:518]->R[UNIMOD:36],K[UNIMOD:518],184.15756,R[UNIMOD:36],184.13241
K[UNIMOD:518]->K[UNIMOD:206],K[UNIMOD:518],184.15756,K[UNIMOD:206],184.121175
K[UNIMOD:518]->K[UNIMOD:58],K[UNIMOD:518],184.15756,K[UNIMOD:58],184.121175
D[UNIMOD:2056]->K[UNIMOD:1263],D[UNIMOD:2056],185.116424,K[UNIMOD:1263],185.116424
K[UNIMOD:1263]->D[UNIMOD:2056],K[UNIMOD:1263],185.116424,D[UNIMOD:2056],185.116424
K[UNIMOD:59]->K[UNIMOD:768],K[UNIMOD:59],187.131239,K[UNIMOD:768],187.14000499999997
K[UNIMOD:59]->K[UNIMOD:445],K[UNIMOD:59],187.131239,K[UNIMOD:445],187.14464999999998
K[UNIMOD:768]->K[UNIMOD:445],K[UNIMOD:768],187.14000499999997,K[UNIMOD:445],187.14464999999998
K[UNIMOD:768]->K[UNIMOD:59],K[UNIMOD:768],187.14000499999997,K[UNIMOD:59],187.131239
K[UNIMOD:445]->K[UNIMOD:768],K[UNIMOD:445],187.14464999999998,K[UNIMOD:768],187.14000499999997
K[UNIMOD:445]->K[UNIMOD:59],K[UNIMOD:445],187.14464999999998,K[UNIMOD:59],187.131239
C[UNIMOD:211]->M[UNIMOD:4],C[UNIMOD:211],188.06195400000001,M[UNIMOD:4],188.06195400000001
C[UNIMOD:211]->F[UNIMOD:1845],C[UNIMOD:211],188.06195400000001,F[UNIMOD:1845],188.069807
C[UNIMOD:211]->W[UNIMOD:995],C[UNIMOD:211],188.06195400000001,W[UNIMOD:995],188.07338
C[UNIMOD:211]->R[UNIMOD:425],C[UNIMOD:211],188.06195400000001,R[UNIMOD:425],188.090939
C[UNIMOD:211]->T[UNIMOD:178],C[UNIMOD:211],188.06195400000001,T[UNIMOD:178],188.09833500000002
M[UNIMOD:4]->F[UNIMOD:1845],M[UNIMOD:4],188.06195400000001,F[UNIMOD:1845],188.069807
M[UNIMOD:4]->W[UNIMOD:995],M[UNIMOD:4],188.06195400000001,W[UNIMOD:995],188.07338
M[UNIMOD:4]->R[UNIMOD:425],M[UNIMOD:4],188.06195400000001,R[UNIMOD:425],188.090939
M[UNIMOD:4]->T[UNIMOD:178],M[UNIMOD:4],188.06195400000001,T[UNIMOD:178],188.09833500000002
M[UNIMOD:4]->C[UNIMOD:211],M[UNIMOD:4],188.06195400000001,C[UNIMOD:211],188.06195400000001
F[UNIMOD:1845]->W[UNIMOD:995],F[UNIMOD:1845],188.069807,W[UNIMOD:995],188.07338
F[UNIMOD:1845]->R[UNIMOD:425],F[UNIMOD:1845],188.069807,R[UNIMOD:425],188.090939
F[UNIMOD:1845]->T[UNIMOD:178],F[UNIMOD:1845],188.069807,T[UNIMOD:178],188.09833500000002
F[UNIMOD:1845]->M[UNIMOD:4],F[UNIMOD:1845],188.069807,M[UNIMOD:4],188.06195400000001
F[UNIMOD:1845]->C[UNIMOD:211],F[UNIMOD:1845],188.069807,C[UNIMOD:211],188.06195400000001
W[UNIMOD:995]->R[UNIMOD:425],W[UNIMOD:995],188.07338,R[UNIMOD:425],188.090939
W[UNIMOD:995]->T[UNIMOD:178],W[UNIMOD:995],188.07338,T[UNIMOD:178],188.09833500000002
W[UNIMOD:995]->F[UNIMOD:1845],W[UNIMOD:995],188.07338,F[UNIMOD:1845],188.069807
W[UNIMOD:995]->M[UNIMOD:4],W[UNIMOD:995],188.07338,M[UNIMOD:4],188.06195400000001
W[UNIMOD:995]->C[UNIMOD:211],W[UNIMOD:995],188.07338,C[UNIMOD:211],188.06195400000001
R[UNIMOD:425]->T[UNIMOD:178],R[UNIMOD:425],188.090939,T[UNIMOD:178],188.09833500000002
R[UNIMOD:425]->W[UNIMOD:995],R[UNIMOD:425],188.090939,W[UNIMOD:995],188.07338
R[UNIMOD:425]->F[UNIMOD:1845],R[UNIMOD:425],188.090939,F[UNIMOD:1845],188.069807
R[UNIMOD:425]->M[UNIMOD:4],R[UNIMOD:425],188.090939,M[UNIMOD:4],188.06195400000001
R[UNIMOD:425]->C[UNIMOD:211],R[UNIMOD:425],188.090939,C[UNIMOD:211],188.06195400000001
T[UNIMOD:178]->R[UNIMOD:425],T[UNIMOD:178],188.09833500000002,R[UNIMOD:425],188.090939
T[UNIMOD:178]->W[UNIMOD:995],T[UNIMOD:178],188.09833500000002,W[UNIMOD:995],188.07338
T[UNIMOD:178]->F[UNIMOD:1845],T[UNIMOD:178],188.09833500000002,F[UNIMOD:1845],188.069807
T[UNIMOD:178]->M[UNIMOD:4],T[UNIMOD:178],188.09833500000002,M[UNIMOD:4],188.06195400000001
T[UNIMOD:178]->C[UNIMOD:211],T[UNIMOD:178],188.09833500000002,C[UNIMOD:211],188.06195400000001
C[UNIMOD:747]->C[UNIMOD:371],C[UNIMOD:747],189.00958400000002,C[UNIMOD:371],189.045969
C[UNIMOD:371]->C[UNIMOD:747],C[UNIMOD:371],189.045969,C[UNIMOD:747],189.00958400000002
W[UNIMOD:351]->K[UNIMOD:318],W[UNIMOD:351],190.07422499999998,K[UNIMOD:318],190.11060999999998
K[UNIMOD:318]->K[UNIMOD:1368],K[UNIMOD:318],190.11060999999998,K[UNIMOD:1368],190.15883499999998
K[UNIMOD:318]->W[UNIMOD:351],K[UNIMOD:318],190.11060999999998,W[UNIMOD:351],190.07422499999998
K[UNIMOD:1368]->R[UNIMOD:510],K[UNIMOD:1368],190.15883499999998,R[UNIMOD:510],190.164227
K[UNIMOD:1368]->R[UNIMOD:1291],K[UNIMOD:1368],190.15883499999998,R[UNIMOD:1291],190.170071
K[UNIMOD:1368]->K[UNIMOD:318],K[UNIMOD:1368],190.15883499999998,K[UNIMOD:318],190.11060999999998
R[UNIMOD:510]->R[UNIMOD:1291],R[UNIMOD:510],190.164227,R[UNIMOD:1291],190.170071
R[UNIMOD:510]->K[UNIMOD:1368],R[UNIMOD:510],190.164227,K[UNIMOD:1368],190.15883499999998
